estacion_x_m,pos_y_m,z_lecho_m,z_banco_m,z_superficie_m
0,0,200.301,204.947,201.01
0,5,200.119,204.947,201.01
0,10,200.088,204.947,201.01
0,15,199.984,204.947,201.01
0,20,199.908,204.947,201.01
0,25,199.959,204.947,201.01
0,30,200.02,204.947,201.01
0,35,200.107,204.947,201.01
0,40,200.178,204.947,201.01
0,45,200.455,204.947,201.01
0,50,200.65,204.947,201.01
250,0,200.3,204.803,200.866
250,5,200.092,204.803,200.866
250,10,199.976,204.803,200.866
250,15,199.932,204.803,200.866
250,20,199.812,204.803,200.866
250,25,199.795,204.803,200.866
250,30,199.839,204.803,200.866
250,35,199.857,204.803,200.866
250,40,199.934,204.803,200.866
250,45,200.163,204.803,200.866
250,50,200.28,204.803,200.866
500,0,200.082,204.447,200.51
500,5,199.869,204.447,200.51
500,10,199.737,204.447,200.51
500,15,199.596,204.447,200.51
500,20,199.471,204.447,200.51
500,25,199.456,204.447,200.51
500,30,199.412,204.447,200.51
500,35,199.561,204.447,200.51
500,40,199.562,204.447,200.51
500,45,199.656,204.447,200.51
500,50,199.819,204.447,200.51
750,0,200.095,204.303,200.366
750,5,199.894,204.303,200.366
750,10,199.686,204.303,200.366
750,15,199.542,204.303,200.366
750,20,199.409,204.303,200.366
750,25,199.38,204.303,200.366
750,30,199.307,204.303,200.366
750,35,199.28,204.303,200.366
750,40,199.38,204.303,200.366
750,45,199.423,204.303,200.366
750,50,199.576,204.303,200.366
1000,0,199.826,203.947,200.01
1000,5,199.563,203.947,200.01
1000,10,199.356,203.947,200.01
1000,15,199.153,203.947,200.01
1000,20,199.024,203.947,200.01
1000,25,199.012,203.947,200.01
1000,30,198.991,203.947,200.01
1000,35,198.934,203.947,200.01
1000,40,199.04,203.947,200.01
1000,45,199.056,203.947,200.01
1000,50,199.185,203.947,200.01
1250,0,199.701,203.803,199.866
1250,5,199.436,203.803,199.866
1250,10,199.201,203.803,199.866
1250,15,199.062,203.803,199.866
1250,20,198.945,203.803,199.866
1250,25,198.877,203.803,199.866
1250,30,198.793,203.803,199.866
1250,35,198.806,203.803,199.866
1250,40,198.88,203.803,199.866
1250,45,198.91,203.803,199.866
1250,50,199.11,203.803,199.866
1500,0,199.197,203.447,199.51
1500,5,198.995,203.447,199.51
1500,10,198.793,203.447,199.51
1500,15,198.626,203.447,199.51
1500,20,198.507,203.447,199.51
1500,25,198.478,203.447,199.51
1500,30,198.407,203.447,199.51
1500,35,198.468,203.447,199.51
1500,40,198.522,203.447,199.51
1500,45,198.563,203.447,199.51
1500,50,198.691,203.447,199.51
1750,0,198.972,203.303,199.366
1750,5,198.759,203.303,199.366
1750,10,198.536,203.303,199.366
1750,15,198.394,203.303,199.366
1750,20,198.341,203.303,199.366
1750,25,198.316,203.303,199.366
1750,30,198.283,203.303,199.366
1750,35,198.338,203.303,199.366
1750,40,198.433,203.303,199.366
1750,45,198.491,203.303,199.366
1750,50,198.744,203.303,199.366
2000,0,198.397,202.947,199.01
2000,5,198.279,202.947,199.01
2000,10,198.088,202.947,199.01
2000,15,198.033,202.947,199.01
2000,20,198.026,202.947,199.01
2000,25,197.931,202.947,199.01
2000,30,197.975,202.947,199.01
2000,35,198.019,202.947,199.01
2000,40,198.187,202.947,199.01
2000,45,198.32,202.947,199.01
2000,50,198.505,202.947,199.01
2250,0,198.169,202.803,198.866
2250,5,197.988,202.803,198.866
2250,10,197.873,202.803,198.866
2250,15,197.813,202.803,198.866
2250,20,197.753,202.803,198.866
2250,25,197.853,202.803,198.866
2250,30,197.89,202.803,198.866
2250,35,197.946,202.803,198.866
2250,40,198.094,202.803,198.866
2250,45,198.238,202.803,198.866
2250,50,198.485,202.803,198.866
2500,0,197.668,202.447,198.51
2500,5,197.63,202.447,198.51
2500,10,197.49,202.447,198.51
2500,15,197.424,202.447,198.51
2500,20,197.484,202.447,198.51
2500,25,197.481,202.447,198.51
2500,30,197.567,202.447,198.51
2500,35,197.66,202.447,198.51
2500,40,197.843,202.447,198.51
2500,45,198.074,202.447,198.51
2500,50,198.287,202.447,198.51
2750,0,197.539,202.303,198.366
2750,5,197.424,202.303,198.366
2750,10,197.387,202.303,198.366
2750,15,197.31,202.303,198.366
2750,20,197.276,202.303,198.366
2750,25,197.371,202.303,198.366
2750,30,197.457,202.303,198.366
2750,35,197.533,202.303,198.366
2750,40,197.733,202.303,198.366
2750,45,197.929,202.303,198.366
2750,50,198.186,202.303,198.366
3000,0,197.189,201.947,198.01
3000,5,197.063,201.947,198.01
3000,10,197.014,201.947,198.01
3000,15,196.957,201.947,198.01
3000,20,196.913,201.947,198.01
3000,25,196.997,201.947,198.01
3000,30,197.091,201.947,198.01
3000,35,197.211,201.947,198.01
3000,40,197.337,201.947,198.01
3000,45,197.57,201.947,198.01
3000,50,197.753,201.947,198.01
3250,0,197.063,201.803,197.866
3250,5,196.994,201.803,197.866
3250,10,196.867,201.803,197.866
3250,15,196.878,201.803,197.866
3250,20,196.76,201.803,197.866
3250,25,196.805,201.803,197.866
3250,30,196.871,201.803,197.866
3250,35,197.004,201.803,197.866
3250,40,197.111,201.803,197.866
3250,45,197.299,201.803,197.866
3250,50,197.54,201.803,197.866
3500,0,196.857,201.447,197.51
3500,5,196.733,201.447,197.51
3500,10,196.651,201.447,197.51
3500,15,196.507,201.447,197.51
3500,20,196.476,201.447,197.51
3500,25,196.481,201.447,197.51
3500,30,196.489,201.447,197.51
3500,35,196.553,201.447,197.51
3500,40,196.666,201.447,197.51
3500,45,196.832,201.447,197.51
3500,50,196.977,201.447,197.51
3750,0,196.911,201.303,197.366
3750,5,196.707,201.303,197.366
3750,10,196.534,201.303,197.366
3750,15,196.421,201.303,197.366
3750,20,196.337,201.303,197.366
3750,25,196.292,201.303,197.366
3750,30,196.279,201.303,197.366
3750,35,196.231,201.303,197.366
3750,40,196.405,201.303,197.366
3750,45,196.602,201.303,197.366
3750,50,196.74,201.303,197.366
4000,0,196.671,200.947,197.01
4000,5,196.47,200.947,197.01
4000,10,196.288,200.947,197.01
4000,15,196.142,200.947,197.01
4000,20,196.068,200.947,197.01
