datetime,Q_upstream_m3s,q_lat_m3s,Q_downstream_m3s,h_outlet_m
2022-01-01 00:00:00,25.984,2.894,28.878,1.0249
2022-01-01 00:15:00,8.595,1.398,9.993,0.9131
2022-01-01 00:30:00,24.45,2.894,27.344,1.033
2022-01-01 00:45:00,57.792,2.024,59.816,1.0777
2022-01-01 01:00:00,79.083,2.439,81.522,1.2733
2022-01-01 01:15:00,52.413,1.313,53.726,0.7297
2022-01-01 01:30:00,62.108,2.216,64.324,0.8382
2022-01-01 01:45:00,55.927,1.697,57.624,0.9246
2022-01-01 02:00:00,47.367,2.526,49.893,0.5458
2022-01-01 02:15:00,26.391,0.11,26.501,0.986
2022-01-01 02:30:00,23.706,0.937,24.643,1.2291
2022-01-01 02:45:00,30.192,1.484,31.676,1.3287
2022-01-01 03:00:00,22.116,1.866,23.982,0.8771
2022-01-01 03:15:00,79.966,1.868,81.834,1.0723
2022-01-01 03:30:00,81.117,3.839,84.956,1.3872
2022-01-01 03:45:00,79.492,4.078,83.57,1.31
2022-01-01 04:00:00,62.874,1.464,64.338,0.895
2022-01-01 04:15:00,90.344,2.898,93.242,1.0091
2022-01-01 04:30:00,101.02,2.63,103.65,1.3481
2022-01-01 04:45:00,64.035,2.703,66.738,1.5532
2022-01-01 05:00:00,67.205,1.836,69.041,1.0214
2022-01-01 05:15:00,57.647,3.598,61.245,1.2613
2022-01-01 05:30:00,80.112,2.161,82.273,1.1161
2022-01-01 05:45:00,58.054,3.438,61.492,1.7872
2022-01-01 06:00:00,60.996,4.765,65.761,1.5179
2022-01-01 06:15:00,70.296,2.9,73.196,1.7052
2022-01-01 06:30:00,99.422,6.59,106.012,1.6478
2022-01-01 06:45:00,92.173,3.466,95.639,1.2757
2022-01-01 07:00:00,136.415,6.49,142.905,1.7623
2022-01-01 07:15:00,95.704,9.12,104.824,1.7702
2022-01-01 07:30:00,90.521,5.915,96.436,1.931
2022-01-01 07:45:00,122.885,6.951,129.836,1.5816
2022-01-01 08:00:00,102.329,8.345,110.674,2.1317
2022-01-01 08:15:00,114.824,8.029,122.853,2.1063
2022-01-01 08:30:00,144.911,6.491,151.402,1.8529
2022-01-01 08:45:00,117.656,9.215,126.871,1.8584
2022-01-01 09:00:00,158.668,8.121,166.789,1.9372
2022-01-01 09:15:00,115.139,7.542,122.681,2.229
2022-01-01 09:30:00,112.176,8.207,120.383,2.0403
2022-01-01 09:45:00,113.769,9.211,122.98,2.2754
2022-01-01 10:00:00,162.114,6.363,168.477,1.9474
2022-01-01 10:15:00,148.616,10.289,158.905,2.0459
2022-01-01 10:30:00,107.796,8.876,116.672,1.7842
2022-01-01 10:45:00,178.298,8.863,187.161,2.1778
2022-01-01 11:00:00,143.444,8.774,152.218,1.9818
2022-01-01 11:15:00,146.12,9.081,155.201,2.0696
2022-01-01 11:30:00,86.818,6.052,92.87,1.7731
2022-01-01 11:45:00,88.764,7.485,96.249,2.0642
2022-01-01 12:00:00,128.943,8.795,137.738,1.8585
2022-01-01 12:15:00,92.927,6.524,99.451,1.7053
2022-01-01 12:30:00,118.871,7.142,126.013,1.8848
2022-01-01 12:45:00,116.153,4.525,120.678,1.7484
2022-01-01 13:00:00,132.881,6.821,139.702,1.7675
2022-01-01 13:15:00,82.037,3.841,85.878,1.285
2022-01-01 13:30:00,83.598,5.209,88.807,1.681
2022-01-01 13:45:00,93.965,5.427,99.392,1.6001
2022-01-01 14:00:00,78.22,4.61,82.83,1.6971
2022-01-01 14:15:00,116.424,5.242,121.666,1.8288
2022-01-01 14:30:00,91.67,5.405,97.075,1.2129
2022-01-01 14:45:00,52.288,6.377,58.665,1.1102
2022-01-01 15:00:00,46.322,1.366,47.688,1.3765
2022-01-01 15:15:00,70.471,3.768,74.239,1.2605
2022-01-01 15:30:00,60.362,4.216,64.578,1.2164
2022-01-01 15:45:00,80.632,3.685,84.317,1.5513
2022-01-01 16:00:00,90.034,3.97,94.004,1.4919
2022-01-01 16:15:00,104.768,2.601,107.369,1.6431
2022-01-01 16:30:00,84.13,0.424,84.554,1.1873
2022-01-01 16:45:00,35.391,5.124,40.515,1.2622
2022-01-01 17:00:00,120.397,2.393,122.79,1.099
2022-01-01 17:15:00,61.906,1.304,63.21,1.2862
2022-01-01 17:30:00,86.465,3.152,89.617,1.2228
2022-01-01 17:45:00,40.951,3.266,44.217,1.4876
2022-01-01 18:00:00,53.121,2.917,56.038,1.347
2022-01-01 18:15:00,95.26,3.08,98.34,1.1453
2022-01-01 18:30:00,37.945,0.0,37.945,1.2491
2022-01-01 18:45:00,69.041,2.009,71.05,1.2689
2022-01-01 19:00:00,40.72,0.282,41.002,1.1965
2022-01-01 19:15:00,62.152,2.611,64.763,1.0647
2022-01-01 19:30:00,98.174,1.171,99.345,1.5301
2022-01-01 19:45:00,55.892,1.41,57.302,1.1072
2022-01-01 20:00:00,78.742,4.774,83.516,0.9108
2022-01-01 20:15:00,74.601,0.389,74.99,1.1109
2022-01-01 20:30:00,45.89,1.444,47.334,1.3886
2022-01-01 20:45:00,48.585,2.495,51.08,1.2202
2022-01-01 21:00:00,95.32,2.038,97.358,0.6971
2022-01-01 21:15:00,53.65,2.12,55.77,1.0196
2022-01-01 21:30:00,34.465,3.337,37.802,1.1689
2022-01-01 21:45:00,39.784,2.531,42.315,0.8043
2022-01-01 22:00:00,57.596,2.559,60.155,1.2615
2022-01-01 22:15:00,10.34,2.762,13.102,1.0025
2022-01-01 22:30:00,21.718,2.364,24.082,1.3747
2022-01-01 22:45:00,46.432,0.194,46.626,1.1827
2022-01-01 23:00:00,43.028,1.249,44.277,1.0597
2022-01-01 23:15:00,55.003,1.419,56.422,0.872
2022-01-01 23:30:00,25.937,2.251,28.188,1.3318
2022-01-01 23:45:00,65.414,2.937,68.351,1.1335
2022-01-02 00:00:00,74.72,2.04,76.76,1.1713
2022-01-02 00:15:00,12.719,0.0,12.719,0.8527
2022-01-02 00:30:00,43.797,1.165,44.962,0.947
2022-01-02 00:45:00,30.64,2.575,33.215,1.0337
2022-01-02 01:00:00,18.679,2.23,20.909,0.7399
2022-01-02 01:15:00,61.297,0.946,62.243,0.8391
2022-01-02 01:30:00,50.352,0.0,50.352,0.9257
2022-01-02 01:45:00,37.089,2.127,39.216,1.0459
2022-01-02 02:00:00,44.802,3.077,47.879,1.214
2022-01-02 02:15:00,65.966,1.569,67.535,0.9386
2022-01-02 02:30:00,57.109,3.304,60.413,0.808
2022-01-02 02:45:00,45.962,0.437,46.399,0.8399
2022-01-02 03:00:00,65.097,1.95,67.047,1.1899
2022-01-02 03:15:00,64.497,1.865,66.362,1.104
2022-01-02 03:30:00,48.275,4.545,52.82,1.1719
2022-01-02 03:45:00,62.669,0.041,62.71,0.8759
2022-01-02 04:00:00,29.814,1.97,31.784,1.4372
2022-01-02 04:15:00,28.969,2.424,31.393,1.135
2022-01-02 04:30:00,32.103,0.403,32.506,1.0423
2022-01-02 04:45:00,18.94,2.472,21.412,1.0607
2022-01-02 05:00:00,36.224,0.677,36.901,1.0261
2022-01-02 05:15:00,35.49,1.52,37.01,0.7293
2022-01-02 05:30:00,62.039,1.276,63.315,1.0801
2022-01-02 05:45:00,52.049,0.399,52.448,0.9196
2022-01-02 06:00:00,61.129,0.0,61.129,0.6343
2022-01-02 06:15:00,32.521,1.774,34.295,0.7732
2022-01-02 06:30:00,41.966,3.197,45.163,1.0586
2022-01-02 06:45:00,58.989,1.19,60.179,1.2331
2022-01-02 07:00:00,44.815,0.0,44.815,0.828
2022-01-02 07:15:00,40.721,2.468,43.189,0.9499
2022-01-02 07:30:00,61.234,0.0,61.234,1.1244
2022-01-02 07:45:00,22.506,3.282,25.788,0.5437
2022-01-02 08:00:00,38.265,1.643,39.908,1.0232
2022-01-02 08:15:00,55.46,2.041,57.501,0.8188
2022-01-02 08:30:00,31.855,0.0,31.855,1.2333
2022-01-02 08:45:00,46.922,0.045,46.967,0.8562
2022-01-02 09:00:00,36.222,0.464,36.686,0.8516
2022-01-02 09:15:00,0.0,2.118,2.118,0.8003
2022-01-02 09:30:00,36.276,0.0,36.276,0.936
2022-01-02 09:45:00,10.756,0.0,10.756,1.0539
2022-01-02 10:00:00,39.274,0.266,39.54,1.1925
2022-01-02 10:15:00,29.104,1.284,30.388,0.8457
2022-01-02 10:30:00,8.577,0.0,8.577,0.5885
2022-01-02 10:45:00,45.023,0.619,45.642,0.8863
2022-01-02 11:00:00,20.878,3.789,24.667,1.0233
2022-01-02 11:15:00,30.629,2.605,33.234,0.7767
2022-01-02 11:30:00,19.124,2.574,21.698,0.889
2022-01-02 11:45:00,42.363,0.0,42.363,0.9907
2022-01-02 12:00:00,12.133,0.0,12.133,1.0123
2022-01-02 12:15:00,14.795,0.0,14.795,0.583
2022-01-02 12:30:00,55.566,4.825,60.391,0.9697
2022-01-02 12:45:00,52.125,2.016,54.141,1.2467
2022-01-02 13:00:00,48.539,0.433,48.972,0.9079
2022-01-02 13:15:00,39.898,2.187,42.085,0.7714
2022-01-02 13:30:00,20.368,0.0,20.368,0.8358
2022-01-02 13:45:00,40.731,1.819,42.55,0.5123
2022-01-02 14:00:00,39.269,1.618,40.887,0.9428
2022-01-02 14:15:00,39.896,3.19,43.086,1.0966
2022-01-02 14:30:00,33.093,0.355,33.448,0.7499
2022-01-02 14:45:00,44.685,1.545,46.23,1.0487
2022-01-02 15:00:00,33.478,0.679,34.157,0.7866
2022-01-02 15:15:00,23.744,1.551,25.295,0.8847
2022-01-02 15:30:00,31.41,0.662,32.072,1.0964
2022-01-02 15:45:00,39.229,0.537,39.766,0.8195
2022-01-02 16:00:00,26.053,2.175,28.228,1.048
2022-01-02 16:15:00,46.258,3.011,49.269,0.9329
2022-01-02 16:30:00,34.02,1.899,35.919,0.7798
2022-01-02 16:45:00,62.09,1.605,63.695,1.0204
2022-01-02 17:00:00,0.0,2.705,2.705,0.7987
2022-01-02 17:15:00,25.423,2.519,27.942,0.762
2022-01-02 17:30:00,37.904,1.888,39.792,0.7381
2022-01-02 17:45:00,74.648,4.305,78.953,0.9189
2022-01-02 18:00:00,17.781,0.577,18.358,1.1724
2022-01-02 18:15:00,31.822,0.221,32.043,0.9037
2022-01-02 18:30:00,26.612,0.0,26.612,0.7761
2022-01-02 18:45:00,26.56,2.086,28.646,0.8059
