datetime,Q_upstream_m3s,Q_downstream_m3s,h_outlet_m
2022-01-01 00:00:00,38.711,38.711,0.9115
2022-01-01 00:15:00,38.709,38.709,0.9115
2022-01-01 00:30:00,38.706,38.706,0.9114
2022-01-01 00:45:00,38.704,38.704,0.9114
2022-01-01 01:00:00,38.701,38.701,0.9114
2022-01-01 01:15:00,38.698,38.698,0.9113
2022-01-01 01:30:00,38.696,38.696,0.9113
2022-01-01 01:45:00,38.693,38.693,0.9113
2022-01-01 02:00:00,38.69,38.69,0.9112
2022-01-01 02:15:00,38.688,38.688,0.9112
2022-01-01 02:30:00,41.996,41.996,0.9572
2022-01-01 02:45:00,45.304,45.304,1.0017
2022-01-01 03:00:00,48.612,48.612,1.045
2022-01-01 03:15:00,51.92,51.92,1.0871
2022-01-01 03:30:00,55.228,55.228,1.1281
2022-01-01 03:45:00,58.536,58.536,1.1682
2022-01-01 04:00:00,61.845,61.845,1.2074
2022-01-01 04:15:00,65.153,65.153,1.2457
2022-01-01 04:30:00,68.461,68.461,1.2833
2022-01-01 04:45:00,71.769,71.769,1.3201
2022-01-01 05:00:00,75.077,75.077,1.3563
2022-01-01 05:15:00,78.385,78.385,1.3919
2022-01-01 05:30:00,81.693,81.693,1.4268
2022-01-01 05:45:00,85.001,85.001,1.4612
2022-01-01 06:00:00,88.309,88.309,1.4951
2022-01-01 06:15:00,91.617,91.617,1.5284
2022-01-01 06:30:00,94.926,94.926,1.5613
2022-01-01 06:45:00,98.234,98.234,1.5937
2022-01-01 07:00:00,101.542,101.542,1.6257
2022-01-01 07:15:00,104.85,104.85,1.6573
2022-01-01 07:30:00,108.158,108.158,1.6885
2022-01-01 07:45:00,111.466,111.466,1.7193
2022-01-01 08:00:00,114.774,114.774,1.7497
2022-01-01 08:15:00,118.082,118.082,1.7798
2022-01-01 08:30:00,121.39,121.39,1.8095
2022-01-01 08:45:00,124.698,124.698,1.839
2022-01-01 09:00:00,128.007,128.007,1.8681
2022-01-01 09:15:00,131.315,131.315,1.8969
2022-01-01 09:30:00,134.623,134.623,1.9254
2022-01-01 09:45:00,137.931,137.931,1.9537
2022-01-01 10:00:00,139.315,139.315,1.9654
2022-01-01 10:15:00,135.045,135.045,1.9291
2022-01-01 10:30:00,130.956,130.956,1.8938
2022-01-01 10:45:00,127.041,127.041,1.8596
2022-01-01 11:00:00,123.292,123.292,1.8265
2022-01-01 11:15:00,119.702,119.702,1.7944
2022-01-01 11:30:00,116.264,116.264,1.7633
2022-01-01 11:45:00,112.972,112.972,1.7332
2022-01-01 12:00:00,109.82,109.82,1.704
2022-01-01 12:15:00,106.802,106.802,1.6757
2022-01-01 12:30:00,103.911,103.911,1.6484
2022-01-01 12:45:00,101.144,101.144,1.6219
2022-01-01 13:00:00,98.493,98.493,1.5963
2022-01-01 13:15:00,95.956,95.956,1.5715
2022-01-01 13:30:00,93.526,93.526,1.5475
2022-01-01 13:45:00,91.199,91.199,1.5242
2022-01-01 14:00:00,88.97,88.97,1.5018
2022-01-01 14:15:00,86.837,86.837,1.4801
2022-01-01 14:30:00,84.794,84.794,1.4591
2022-01-01 14:45:00,82.837,82.837,1.4388
2022-01-01 15:00:00,80.964,80.964,1.4192
2022-01-01 15:15:00,79.17,79.17,1.4002
2022-01-01 15:30:00,77.452,77.452,1.3819
2022-01-01 15:45:00,75.807,75.807,1.3642
2022-01-01 16:00:00,74.232,74.232,1.3471
2022-01-01 16:15:00,72.724,72.724,1.3307
2022-01-01 16:30:00,71.279,71.279,1.3147
2022-01-01 16:45:00,69.896,69.896,1.2994
2022-01-01 17:00:00,68.572,68.572,1.2845
2022-01-01 17:15:00,67.304,67.304,1.2702
2022-01-01 17:30:00,66.09,66.09,1.2564
2022-01-01 17:45:00,64.927,64.927,1.2431
2022-01-01 18:00:00,63.813,63.813,1.2303
2022-01-01 18:15:00,62.747,62.747,1.2179
2022-01-01 18:30:00,61.726,61.726,1.206
2022-01-01 18:45:00,60.749,60.749,1.1945
2022-01-01 19:00:00,59.813,59.813,1.1834
2022-01-01 19:15:00,58.916,58.916,1.1727
2022-01-01 19:30:00,58.058,58.058,1.1625
2022-01-01 19:45:00,57.236,57.236,1.1526
2022-01-01 20:00:00,56.449,56.449,1.143
2022-01-01 20:15:00,55.695,55.695,1.1338
2022-01-01 20:30:00,54.973,54.973,1.125
2022-01-01 20:45:00,54.282,54.282,1.1165
2022-01-01 21:00:00,53.621,53.621,1.1083
2022-01-01 21:15:00,52.987,52.987,1.1004
2022-01-01 21:30:00,52.38,52.38,1.0928
2022-01-01 21:45:00,51.799,51.799,1.0856
2022-01-01 22:00:00,51.243,51.243,1.0785
2022-01-01 22:15:00,50.71,50.71,1.0718
2022-01-01 22:30:00,50.2,50.2,1.0653
2022-01-01 22:45:00,49.711,49.711,1.0591
2022-01-01 23:00:00,49.244,49.244,1.0531
2022-01-01 23:15:00,48.796,48.796,1.0473
2022-01-01 23:30:00,48.367,48.367,1.0418
2022-01-01 23:45:00,47.956,47.956,1.0365
2022-01-02 00:00:00,47.563,47.563,1.0314
2022-01-02 00:15:00,47.186,47.186,1.0265
2022-01-02 00:30:00,46.826,46.826,1.0218
2022-01-02 00:45:00,46.48,46.48,1.0172
2022-01-02 01:00:00,46.15,46.15,1.0129
2022-01-02 01:15:00,45.833,45.833,1.0087
2022-01-02 01:30:00,45.53,45.53,1.0047
2022-01-02 01:45:00,45.239,45.239,1.0009
2022-01-02 02:00:00,44.961,44.961,0.9972
2022-01-02 02:15:00,44.695,44.695,0.9936
2022-01-02 02:30:00,44.44,44.44,0.9902
2022-01-02 02:45:00,44.196,44.196,0.9869
2022-01-02 03:00:00,43.962,43.962,0.9838
2022-01-02 03:15:00,43.739,43.739,0.9808
2022-01-02 03:30:00,43.524,43.524,0.9779
2022-01-02 03:45:00,43.319,43.319,0.9751
2022-01-02 04:00:00,43.123,43.123,0.9725
2022-01-02 04:15:00,42.934,42.934,0.9699
2022-01-02 04:30:00,42.754,42.754,0.9675
2022-01-02 04:45:00,42.582,42.582,0.9651
2022-01-02 05:00:00,42.416,42.416,0.9629
2022-01-02 05:15:00,42.258,42.258,0.9607
2022-01-02 05:30:00,42.107,42.107,0.9587
2022-01-02 05:45:00,41.962,41.962,0.9567
2022-01-02 06:00:00,41.823,41.823,0.9548
2022-01-02 06:15:00,41.69,41.69,0.953
2022-01-02 06:30:00,41.562,41.562,0.9512
2022-01-02 06:45:00,41.44,41.44,0.9495
2022-01-02 07:00:00,41.323,41.323,0.9479
2022-01-02 07:15:00,41.212,41.212,0.9464
2022-01-02 07:30:00,41.105,41.105,0.9449
2022-01-02 07:45:00,41.002,41.002,0.9435
2022-01-02 08:00:00,40.904,40.904,0.9421
2022-01-02 08:15:00,40.81,40.81,0.9408
2022-01-02 08:30:00,40.72,40.72,0.9396
2022-01-02 08:45:00,40.633,40.633,0.9384
2022-01-02 09:00:00,40.551,40.551,0.9373
2022-01-02 09:15:00,38.387,38.387,0.9069
2022-01-02 09:30:00,38.385,38.385,0.9069
2022-01-02 09:45:00,38.383,38.383,0.9069
2022-01-02 10:00:00,38.38,38.38,0.9068
2022-01-02 10:15:00,38.378,38.378,0.9068
2022-01-02 10:30:00,38.376,38.376,0.9068
2022-01-02 10:45:00,38.374,38.374,0.9067
2022-01-02 11:00:00,38.371,38.371,0.9067
2022-01-02 11:15:00,38.369,38.369,0.9067
2022-01-02 11:30:00,38.367,38.367,0.9066
2022-01-02 11:45:00,38.365,38.365,0.9066
2022-01-02 12:00:00,38.363,38.363,0.9066
2022-01-02 12:15:00,38.36,38.36,0.9065
2022-01-02 12:30:00,38.358,38.358,0.9065
2022-01-02 12:45:00,38.356,38.356,0.9065
2022-01-02 13:00:00,38.354,38.354,0.9065
2022-01-02 13:15:00,38.352,38.352,0.9064
2022-01-02 13:30:00,38.349,38.349,0.9064
2022-01-02 13:45:00,38.347,38.347,0.9064
2022-01-02 14:00:00,38.345,38.345,0.9063
2022-01-02 14:15:00,38.343,38.343,0.9063
2022-01-02 14:30:00,38.341,38.341,0.9063
2022-01-02 14:45:00,38.339,38.339,0.9062
2022-01-02 15:00:00,38.336,38.336,0.9062
2022-01-02 15:15:00,38.334,38.334,0.9062
2022-01-02 15:30:00,38.332,38.332,0.9061
2022-01-02 15:45:00,38.33,38.33,0.9061
2022-01-02 16:00:00,38.328,38.328,0.9061
2022-01-02 16:15:00,38.326,38.326,0.9061
2022-01-02 16:30:00,38.324,38.324,0.906
2022-01-02 16:45:00,38.321,38.321,0.906
2022-01-02 17:00:00,38.319,38.319,0.906
2022-01-02 17:15:00,38.317,38.317,0.9059
2022-01-02 17:30:00,38.315,38.315,0.9059
2022-01-02 17:45:00,38.313,38.313,0.9059
2022-01-02 18:00:00,38.311,38.311,0.9058
2022-01-02 18:15:00,38.309,38.309,0.9058
2022-01-02 18:30:00,38.306,38.306,0.9058
2022-01-02 18:45:00,38.304,38.304,0.9057
2022-01-02 19:00:00,38.302,38.302,0.9057
2022-01-02 19:15:00,38.3,38.3,0.9057
2022-01-02 19:30:00,38.298,38.298,0.9057
2022-01-02 19:45:00,38.296,38.296,0.9056
2022-01-02 20:00:00,38.294,38.294,0.9056
2022-01-02 20:15:00,38.292,38.292,0.9056
2022-01-02 20:30:00,38.29,38.29,0.9055
2022-01-02 20:45:00,38.288,38.288,0.9055
2022-01-02 21:00:00,38.285,38.285,0.9055
2022-01-02 21:15:00,38.283,38.283,0.9055
2022-01-02 21:30:00,38.281,38.281,0.9054
2022-01-02 21:45:00,38.279,38.279,0.9054
2022-01-02 22:00:00,38.277,38.277,0.9054
2022-01-02 22:15:00,38.275,38.275,0.9053
2022-01-02 22:30:00,38.273,38.273,0.9053
2022-01-02 22:45:00,38.271,38.271,0.9053
2022-01-02 23:00:00,38.269,38.269,0.9052
2022-01-02 23:15:00,38.267,38.267,0.9052
2022-01-02 23:30:00,38.265,38.265,0.9052
2022-01-02 23:45:00,66.563,66.563,1.2618
2022-01-03 00:00:00,94.861,94.861,1.5607
2022-01-03 00:15:00,123.159,123.159,1.8253
2022-01-03 00:30:00,151.458,151.458,2.0665
2022-01-03 00:45:00,179.756,179.756,2.2902
2022-01-03 01:00:00,208.054,208.054,2.5001
2022-01-03 01:15:00,236.352,236.352,2.6989
2022-01-03 01:30:00,264.651,264.651,2.8884
2022-01-03 01:45:00,292.949,292.949,3.07
2022-01-03 02:00:00,321.247,321.247,3.2446
2022-01-03 02:15:00,349.545,349.545,3.4132
2022-01-03 02:30:00,377.844,377.844,3.5764
2022-01-03 02:45:00,373.621,373.621,3.5524
2022-01-03 03:00:00,339.692,339.692,3.3551
2022-01-03 03:15:00,309.195,309.195,3.171
2022-01-03 03:30:00,281.784,281.784,2.9992
2022-01-03 03:45:00,257.146,257.146,2.839
2022-01-03 04:00:00,235.0,235.0,2.6897
2022-01-03 04:15:00,215.096,215.096,2.5506
2022-01-03 04:30:00,197.205,197.205,2.4211
2022-01-03 04:45:00,181.124,181.124,2.3006
2022-01-03 05:00:00,166.67,166.67,2.1886
2022-01-03 05:15:00,153.679,153.679,2.0846
2022-01-03 05:30:00,142.002,142.002,1.9881
2022-01-03 05:45:00,131.506,131.506,1.8986
2022-01-03 06:00:00,122.073,122.073,1.8156
2022-01-03 06:15:00,113.593,113.593,1.7389
2022-01-03 06:30:00,105.972,105.972,1.6679
2022-01-03 06:45:00,99.122,99.122,1.6024
2022-01-03 07:00:00,97.689,97.689,1.5884
2022-01-03 07:15:00,100.166,100.166,1.6125
2022-01-03 07:30:00,102.642,102.642,1.6363
2022-01-03 07:45:00,105.119,105.119,1.6598
2022-01-03 08:00:00,107.595,107.595,1.6832
2022-01-03 08:15:00,110.072,110.072,1.7063
2022-01-03 08:30:00,112.548,112.548,1.7293
2022-01-03 08:45:00,115.025,115.025,1.752
2022-01-03 09:00:00,117.501,117.501,1.7745
2022-01-03 09:15:00,119.978,119.978,1.7969
2022-01-03 09:30:00,122.454,122.454,1.819
2022-01-03 09:45:00,124.931,124.931,1.841
2022-01-03 10:00:00,127.407,127.407,1.8628
2022-01-03 10:15:00,129.884,129.884,1.8845
2022-01-03 10:30:00,132.36,132.36,1.906
2022-01-03 10:45:00,134.837,134.837,1.9273
2022-01-03 11:00:00,137.313,137.313,1.9484
2022-01-03 11:15:00,139.79,139.79,1.9694
2022-01-03 11:30:00,142.266,142.266,1.9903
2022-01-03 11:45:00,144.743,144.743,2.011
2022-01-03 12:00:00,147.22,147.22,2.0316
2022-01-03 12:15:00,149.696,149.696,2.052
2022-01-03 12:30:00,152.173,152.173,2.0723
2022-01-03 12:45:00,150.342,150.342,2.0573
2022-01-03 13:00:00,147.156,147.156,2.0311
2022-01-03 13:15:00,144.062,144.062,2.0053
2022-01-03 13:30:00,141.055,141.055,1.9801
2022-01-03 13:45:00,138.134,138.134,1.9554
2022-01-03 14:00:00,135.295,135.295,1.9312
2022-01-03 14:15:00,132.538,132.538,1.9075
2022-01-03 14:30:00,129.858,129.858,1.8843
2022-01-03 14:45:00,127.255,127.255,1.8615
2022-01-03 15:00:00,124.726,124.726,1.8392
2022-01-03 15:15:00,122.268,122.268,1.8174
2022-01-03 15:30:00,119.881,119.881,1.796
2022-01-03 15:45:00,117.561,117.561,1.7751
2022-01-03 16:00:00,115.308,115.308,1.7546
2022-01-03 16:15:00,113.118,113.118,1.7345
2022-01-03 16:30:00,110.99,110.99,1.7149
2022-01-03 16:45:00,108.923,108.923,1.6956
2022-01-03 17:00:00,106.915,106.915,1.6768
