datetime,Q_upstream_m3s,Q_downstream_m3s,h_outlet_m
2022-01-01 00:00:00,38.711,38.711,0.9115
2022-01-01 00:15:00,38.709,38.711,0.9115
2022-01-01 00:30:00,38.706,38.711,0.9115
2022-01-01 00:45:00,38.704,38.709,0.9115
2022-01-01 01:00:00,38.701,38.708,0.9115
2022-01-01 01:15:00,38.698,38.706,0.9114
2022-01-01 01:30:00,38.696,38.704,0.9114
2022-01-01 01:45:00,38.693,38.701,0.9114
2022-01-01 02:00:00,38.69,38.699,0.9113
2022-01-01 02:15:00,38.688,38.697,0.9113
2022-01-01 02:30:00,41.996,38.825,0.9131
2022-01-01 02:45:00,45.304,39.815,0.927
2022-01-01 03:00:00,48.612,41.434,0.9495
2022-01-01 03:15:00,51.92,43.511,0.9777
2022-01-01 03:30:00,55.228,45.922,1.0099
2022-01-01 03:45:00,58.536,48.576,1.0445
2022-01-01 04:00:00,61.845,51.407,1.0806
2022-01-01 04:15:00,65.153,54.368,1.1175
2022-01-01 04:30:00,68.461,57.422,1.1548
2022-01-01 04:45:00,71.769,60.546,1.1921
2022-01-01 05:00:00,75.077,63.719,1.2292
2022-01-01 05:15:00,78.385,66.929,1.266
2022-01-01 05:30:00,81.693,70.166,1.3024
2022-01-01 05:45:00,85.001,73.422,1.3383
2022-01-01 06:00:00,88.309,76.692,1.3738
2022-01-01 06:15:00,91.617,79.973,1.4087
2022-01-01 06:30:00,94.926,83.261,1.4432
2022-01-01 06:45:00,98.234,86.554,1.4772
2022-01-01 07:00:00,101.542,89.851,1.5107
2022-01-01 07:15:00,104.85,93.152,1.5437
2022-01-01 07:30:00,108.158,96.454,1.5763
2022-01-01 07:45:00,111.466,99.758,1.6085
2022-01-01 08:00:00,114.774,103.063,1.6403
2022-01-01 08:15:00,118.082,106.369,1.6717
2022-01-01 08:30:00,121.39,109.675,1.7026
2022-01-01 08:45:00,124.698,112.982,1.7333
2022-01-01 09:00:00,128.007,116.29,1.7635
