datetime,Q_upstream_m3s,Q_downstream_m3s,h_outlet_m
2022-01-01 00:00:00,14.616,49.223,0.5052
2022-01-01 00:15:00,14.342,29.75,0.9888
2022-01-01 00:30:00,33.249,33.662,0.948
2022-01-01 00:45:00,24.53,29.194,0.8131
2022-01-01 01:00:00,35.971,21.876,0.7926
2022-01-01 01:15:00,22.99,0.0,0.824
2022-01-01 01:30:00,41.974,37.662,0.7922
2022-01-01 01:45:00,26.079,22.94,0.5078
2022-01-01 02:00:00,22.194,34.854,0.8535
2022-01-01 02:15:00,6.91,44.348,1.1318
2022-01-01 02:30:00,16.362,52.431,0.872
2022-01-01 02:45:00,11.77,23.961,0.5502
2022-01-01 03:00:00,33.462,0.0,0.5866
2022-01-01 03:15:00,4.186,44.904,0.6405
2022-01-01 03:30:00,30.208,39.424,0.629
2022-01-01 03:45:00,19.134,18.516,0.8238
2022-01-01 04:00:00,18.433,37.133,0.8312
2022-01-01 04:15:00,31.759,27.946,0.8732
2022-01-01 04:30:00,23.085,29.955,0.5495
2022-01-01 04:45:00,39.2,24.997,0.796
2022-01-01 05:00:00,58.984,42.481,0.8299
2022-01-01 05:15:00,39.839,63.376,0.975
2022-01-01 05:30:00,44.952,29.827,0.7971
2022-01-01 05:45:00,45.035,6.465,0.9274
2022-01-01 06:00:00,2.158,26.321,0.6495
2022-01-01 06:15:00,32.331,20.204,0.7653
2022-01-01 06:30:00,40.004,46.465,0.8102
2022-01-01 06:45:00,23.432,53.101,0.9404
2022-01-01 07:00:00,35.266,37.009,0.9827
2022-01-01 07:15:00,24.563,0.0,0.7126
2022-01-01 07:30:00,40.275,42.151,0.6754
2022-01-01 07:45:00,12.662,23.695,0.7499
2022-01-01 08:00:00,50.491,29.601,0.5789
2022-01-01 08:15:00,26.369,44.357,0.6356
2022-01-01 08:30:00,19.161,18.359,0.8229
2022-01-01 08:45:00,16.041,14.229,0.597
2022-01-01 09:00:00,23.656,32.079,0.8753
2022-01-01 09:15:00,41.254,27.024,0.6627
2022-01-01 09:30:00,23.869,35.104,0.8423
2022-01-01 09:45:00,54.847,0.775,0.81
2022-01-01 10:00:00,40.615,24.722,0.7349
2022-01-01 10:15:00,26.086,34.859,0.3596
2022-01-01 10:30:00,15.123,6.816,0.841
2022-01-01 10:45:00,6.836,29.152,0.5174
2022-01-01 11:00:00,42.425,28.881,0.9509
2022-01-01 11:15:00,54.287,46.992,0.7782
2022-01-01 11:30:00,53.924,50.122,0.8439
2022-01-01 11:45:00,24.149,4.404,0.8508
2022-01-01 12:00:00,28.454,22.549,0.8976
2022-01-01 12:15:00,35.053,30.342,0.9842
2022-01-01 12:30:00,31.512,8.404,0.8228
2022-01-01 12:45:00,30.846,34.757,1.1469
2022-01-01 13:00:00,21.483,35.232,0.8636
2022-01-01 13:15:00,50.145,29.482,0.6436
2022-01-01 13:30:00,4.168,43.269,0.735
2022-01-01 13:45:00,23.438,33.766,0.9997
2022-01-01 14:00:00,19.501,16.012,0.8208
2022-01-01 14:15:00,49.515,39.161,0.7459
2022-01-01 14:30:00,41.778,11.018,0.7802
2022-01-01 14:45:00,39.779,16.468,0.3391
2022-01-01 15:00:00,34.852,46.211,0.8298
2022-01-01 15:15:00,27.723,2.228,0.7571
2022-01-01 15:30:00,22.316,58.466,0.7251
2022-01-01 15:45:00,25.047,5.721,0.8044
2022-01-01 16:00:00,21.272,36.02,0.9385
2022-01-01 16:15:00,24.04,31.22,0.6131
2022-01-01 16:30:00,25.398,30.847,0.7037
2022-01-01 16:45:00,26.533,36.051,0.7082
2022-01-01 17:00:00,41.401,46.788,0.7534
2022-01-01 17:15:00,24.436,19.651,0.8137
2022-01-01 17:30:00,15.775,42.515,1.1341
2022-01-01 17:45:00,50.217,21.824,0.8099
2022-01-01 18:00:00,25.541,63.685,0.7341
2022-01-01 18:15:00,27.681,17.768,0.6748
2022-01-01 18:30:00,18.458,51.008,0.7629
2022-01-01 18:45:00,26.772,14.775,0.7325
2022-01-01 19:00:00,13.886,39.908,0.5829
2022-01-01 19:15:00,9.434,25.466,0.8862
2022-01-01 19:30:00,39.111,39.296,0.6361
2022-01-01 19:45:00,40.381,18.732,0.9927
2022-01-01 20:00:00,25.876,61.312,0.7442
2022-01-01 20:15:00,38.438,30.846,0.7982
2022-01-01 20:30:00,12.092,28.273,0.5781
2022-01-01 20:45:00,24.985,36.976,0.8779
2022-01-01 21:00:00,43.219,60.644,0.7685
2022-01-01 21:15:00,49.651,39.116,0.8042
2022-01-01 21:30:00,54.025,36.008,0.7867
2022-01-01 21:45:00,50.575,32.742,0.9072
2022-01-01 22:00:00,39.961,45.256,0.8464
2022-01-01 22:15:00,40.786,32.712,0.7969
2022-01-01 22:30:00,30.577,8.424,0.8211
2022-01-01 22:45:00,38.158,30.01,0.7327
2022-01-01 23:00:00,51.285,22.575,0.6792
2022-01-01 23:15:00,33.34,39.715,0.8175
2022-01-01 23:30:00,55.239,50.518,0.8284
2022-01-01 23:45:00,6.937,40.908,0.6592
2022-01-02 00:00:00,37.193,37.155,0.8619
2022-01-02 00:15:00,28.402,36.315,0.8161
2022-01-02 00:30:00,47.893,20.405,0.9276
2022-01-02 00:45:00,24.701,37.101,0.9027
2022-01-02 01:00:00,21.229,14.068,0.6239
2022-01-02 01:15:00,32.154,66.788,0.7932
2022-01-02 01:30:00,39.829,14.265,0.8182
2022-01-02 01:45:00,5.856,46.952,0.7204
2022-01-02 02:00:00,20.281,53.669,0.7769
2022-01-02 02:15:00,29.604,23.159,0.5974
2022-01-02 02:30:00,20.666,3.013,0.6258
2022-01-02 02:45:00,47.376,40.778,0.9678
2022-01-02 03:00:00,3.903,41.478,1.0477
2022-01-02 03:15:00,18.896,21.235,0.6841
2022-01-02 03:30:00,7.461,28.203,0.8851
2022-01-02 03:45:00,31.062,34.35,0.7813
2022-01-02 04:00:00,35.583,37.662,0.7892
2022-01-02 04:15:00,38.557,8.822,0.8563
2022-01-02 04:30:00,10.669,46.426,1.0307
2022-01-02 04:45:00,35.314,38.436,0.8156
2022-01-02 05:00:00,25.253,31.752,0.7191
2022-01-02 05:15:00,40.1,38.728,0.7521
2022-01-02 05:30:00,18.405,52.77,0.8832
2022-01-02 05:45:00,46.577,41.93,0.7152
2022-01-02 06:00:00,32.478,7.867,0.9474
2022-01-02 06:15:00,28.728,38.537,0.8762
2022-01-02 06:30:00,14.68,35.601,0.7848
2022-01-02 06:45:00,10.963,59.194,1.0792
2022-01-02 07:00:00,38.141,32.823,0.4801
2022-01-02 07:15:00,46.111,17.079,1.0239
2022-01-02 07:30:00,22.909,0.0,0.9278
2022-01-02 07:45:00,48.381,62.938,0.9667
2022-01-02 08:00:00,6.286,34.033,0.5864
2022-01-02 08:15:00,14.937,26.351,0.6602
2022-01-02 08:30:00,54.627,44.933,0.7591
