datetime,Q_upstream_m3s,Q_downstream_m3s,h_outlet_m
2022-01-01 00:00:00,38.711,38.711,0.9115
2022-01-01 00:15:00,38.709,38.711,0.9115
2022-01-01 00:30:00,38.706,38.711,0.9115
2022-01-01 00:45:00,38.704,38.711,0.9115
2022-01-01 01:00:00,38.701,38.711,0.9115
2022-01-01 01:15:00,38.698,38.709,0.9115
2022-01-01 01:30:00,38.696,38.706,0.9114
2022-01-01 01:45:00,38.693,38.704,0.9114
2022-01-01 02:00:00,38.69,38.701,0.9114
2022-01-01 02:15:00,38.688,38.698,0.9113
2022-01-01 02:30:00,41.996,38.696,0.9113
2022-01-01 02:45:00,45.304,38.693,0.9113
2022-01-01 03:00:00,48.612,38.69,0.9112
2022-01-01 03:15:00,51.92,38.688,0.9112
2022-01-01 03:30:00,55.228,41.996,0.9572
2022-01-01 03:45:00,58.536,45.304,1.0017
2022-01-01 04:00:00,61.845,48.612,1.045
2022-01-01 04:15:00,65.153,51.92,1.0871
2022-01-01 04:30:00,68.461,55.228,1.1281
2022-01-01 04:45:00,71.769,58.536,1.1682
2022-01-01 05:00:00,75.077,61.845,1.2074
2022-01-01 05:15:00,78.385,65.153,1.2457
2022-01-01 05:30:00,81.693,68.461,1.2833
2022-01-01 05:45:00,85.001,71.769,1.3201
2022-01-01 06:00:00,88.309,75.077,1.3563
2022-01-01 06:15:00,91.617,78.385,1.3919
2022-01-01 06:30:00,94.926,81.693,1.4268
2022-01-01 06:45:00,98.234,85.001,1.4612
2022-01-01 07:00:00,101.542,88.309,1.4951
2022-01-01 07:15:00,104.85,91.617,1.5284
2022-01-01 07:30:00,108.158,94.926,1.5613
2022-01-01 07:45:00,111.466,98.234,1.5937
2022-01-01 08:00:00,114.774,101.542,1.6257
2022-01-01 08:15:00,118.082,104.85,1.6573
2022-01-01 08:30:00,121.39,108.158,1.6885
2022-01-01 08:45:00,124.698,111.466,1.7193
2022-01-01 09:00:00,128.007,114.774,1.7497
